Tip,test,,,Tilt,test,,,,,
Desired,Actual,Error,,Desired,Actual,Error,,,,
2129,2129,0,,47,46.71,-0.29,,,,
1756,1756.41,0.41,,297,297.26,0.26,,,,
744,743.82,-0.18,,1813,1812.61,-0.39,,,,
1298,1297.78,-0.22,,112,111.92,-0.08,,,,
1727,1727.18,0.18,,574,573.6,-0.4,,,,
1638,1637.88,-0.12,,1425,1425.08,0.08,,,,
2136,2136.2,0.2,,2061,2061.15,0.15,,,,
2003,2002.77,-0.23,,1114,1114.19,0.19,,,,
525,525.48,0.48,,1209,1208.7,-0.3,,,,
1934,1934.11,0.11,,2090,2089.86,-0.14,,,,
2200,2200.31,0.31,,1487,1486.71,-0.29,,,,
67,66.6,-0.4,,152,152.22,0.22,,,,
409,408.94,-0.06,,360,359.91,-0.09,,,,
693,693.2,0.2,,1667,1666.95,-0.05,,,,
2148,2147.69,-0.31,,1650,1650.03,0.03,,,,
1817,1817.01,0.01,,2138,2138.22,0.22,,,,
1621,1620.96,-0.04,,1175,1174.93,-0.07,,,,
548,548.34,0.34,,1729,1728.91,-0.09,,,,
679,678.83,-0.17,,2241,2241.01,0.01,,,,
540,539.65,-0.35,,1698,1697.97,-0.03,,,,
1688,1688.46,0.46,,147,146.68,-0.32,,,,
1972,1971.75,-0.25,,39,39.09,0.09,,Mean,-0.00773,-0.05741
110,110.03,0.03,,1546,1546.36,0.36,,STD,0.225676931,0.205048865
21,21.05,0.05,,1503,1503.12,0.12,,,,
1421,1420.65,-0.35,,506,505.98,-0.02,,,,
103,102.73,-0.27,,1474,1473.8,-0.2,,,,
1525,1524.91,-0.09,,891,891.08,0.08,,,,
2053,2052.9,-0.1,,930,929.8,-0.2,,,,
1066,1066.32,0.32,,527,527.19,0.19,,,,
692,691.83,-0.17,,1318,1318.08,0.08,,,,
958,957.62,-0.38,,820,819.98,-0.02,,,,
984,983.95,-0.05,,256,256.16,0.16,,,,
1206,1206.14,0.14,,2006,2006.34,0.34,,,,
1794,1793.58,-0.42,,1149,1148.68,-0.32,,,,
175,175.14,0.14,,564,563.88,-0.12,,,,
1053,1052.79,-0.21,,781,781.11,0.11,,,,
1166,1166,0,,228,228.04,0.04,,,,
1589,1588.95,-0.05,,2280,2280.05,0.05,,,,
694,694.15,0.15,,2124,2124.29,0.29,,,,
492,492.22,0.22,,835,834.79,-0.21,,,,
1007,1007.11,0.11,,1327,1326.95,-0.05,,,,
468,467.99,-0.01,,1445,1444.96,-0.04,,,,
110,110.19,0.19,,1180,1179.83,-0.17,,,,
79,78.88,-0.12,,1698,1697.83,-0.17,,,,
1817,1817.19,0.19,,786,785.99,-0.01,,,,
914,914.26,0.26,,433,432.77,-0.23,,,,
2044,2044.01,0.01,,1871,1870.83,-0.17,,,,
1334,1334.04,0.04,,565,565.23,0.23,,,,
784,784.05,0.05,,591,590.93,-0.07,,,,
19,18.95,-0.05,,1188,1187.65,-0.35,,,,
164,163.75,-0.25,,1060,1059.8,-0.2,,,,
1295,1295.22,0.22,,680,680.01,0.01,,,,
1477,1476.93,-0.07,,1885,1884.74,-0.26,,,,
1462,1462.44,0.44,,2079,2078.51,-0.49,,,,
2087,2087.07,0.07,,2286,2286.08,0.08,,,,
494,493.93,-0.07,,2066,2066.07,0.07,,,,
199,199.03,0.03,,1533,1532.83,-0.17,,,,
1258,1257.56,-0.44,,644,644.05,0.05,,,,
860,859.95,-0.05,,1040,1039.69,-0.31,,,,
1762,1762.4,0.4,,1132,1131.69,-0.31,,,,
1608,1607.94,-0.06,,1024,1023.92,-0.08,,,,
1273,1272.9,-0.1,,1854,1853.88,-0.12,,,,
592,591.86,-0.14,,1553,1552.83,-0.17,,,,
2287,2286.6,-0.4,,2067,2066.63,-0.37,,,,
1260,1259.98,-0.02,,2220,2219.8,-0.2,,,,
1141,1140.92,-0.08,,211,211,0,,,,
38,38.04,0.04,,546,545.62,-0.38,,,,
1278,1277.86,-0.14,,2183,2183.05,0.05,,,,
778,777.89,-0.11,,1831,1831.1,0.1,,,,
2073,2072.92,-0.08,,1675,1674.77,-0.23,,,,
70,69.99,-0.01,,1354,1354.14,0.14,,,,
2201,2200.87,-0.13,,1067,1066.7,-0.3,,,,
1081,1081.07,0.07,,834,833.87,-0.13,,,,
1395,1395.17,0.17,,1855,1854.76,-0.24,,,,
1318,1318.24,0.24,,1537,1536.7,-0.3,,,,
303,303.21,0.21,,1975,1974.99,-0.01,,,,
977,977.42,0.42,,95,94.85,-0.15,,,,
163,163.08,0.08,,2124,2124.33,0.33,,,,
262,261.52,-0.48,,66,66.16,0.16,,,,
680,679.75,-0.25,,1620,1620.32,0.32,,,,
997,997.23,0.23,,839,838.6,-0.4,,,,
1266,1265.56,-0.44,,2093,2093.08,0.08,,,,
2114,2114.23,0.23,,1246,1245.67,-0.33,,,,
1217,1216.94,-0.06,,909,908.63,-0.37,,,,
1499,1498.98,-0.02,,658,658.1,0.1,,,,
1350,1350.41,0.41,,396,396.06,0.06,,,,
1569,1569.08,0.08,,187,186.85,-0.15,,,,
739,738.94,-0.06,,973,972.9,-0.1,,,,
2076,2076.39,0.39,,1212,1211.68,-0.32,,,,
1513,1513.22,0.22,,1053,1053.03,0.03,,,,
528,527.74,-0.26,,1290,1289.88,-0.12,,,,
1053,1052.91,-0.09,,976,975.9,-0.1,,,,
1825,1825.09,0.09,,2261,2261.2,0.2,,,,
22,22.15,0.15,,722,722.17,0.17,,,,
1463,1462.76,-0.24,,131,130.93,-0.07,,,,
2204,2203.77,-0.23,,1752,1751.71,-0.29,,,,
375,374.93,-0.07,,653,653.02,0.02,,,,
402,401.95,-0.05,,155,154.88,-0.12,,,,
2182,2182.36,0.36,,801,801.31,0.31,,,,
2242,2241.77,-0.23,,1665,1665.05,0.05,,,,
2010,2010.01,0.01,,293,292.72,-0.28,,,,
1268,1268.17,0.17,,1222,1222.04,0.04,,,,
1466,1465.78,-0.22,,1783,1783.22,0.22,,,,
228,228.44,0.44,,640,640.08,0.08,,,,
349,349.03,0.03,,1388,1387.69,-0.31,,,,
921,921.09,0.09,,1363,1362.93,-0.07,,,,
356,355.96,-0.04,,413,412.83,-0.17,,,,
1614,1613.69,-0.31,,322,321.81,-0.19,,,,
1297,1297.13,0.13,,817,816.87,-0.13,,,,
1973,1973.1,0.1,,534,533.66,-0.34,,,,
2186,2186.05,0.05,,375,374.83,-0.17,,,,
1526,1525.98,-0.02,,1195,1194.57,-0.43,,,,
147,147.22,0.22,,1878,1877.68,-0.32,,,,
796,795.73,-0.27,,1213,1212.91,-0.09,,,,
423,422.91,-0.09,,826,825.92,-0.08,,,,
1064,1064.06,0.06,,461,460.97,-0.03,,,,
2203,2203.43,0.43,,1451,1450.92,-0.08,,,,
255,255.27,0.27,,743,742.75,-0.25,,,,
1250,1249.7,-0.3,,610,609.9,-0.1,,,,
2210,2209.86,-0.14,,2128,2127.81,-0.19,,,,
79,78.98,-0.02,,356,355.94,-0.06,,,,
450,449.88,-0.12,,1291,1291.15,0.15,,,,
888,887.91,-0.09,,1495,1495.25,0.25,,,,
1246,1245.79,-0.21,,1168,1167.92,-0.08,,,,
2294,2293.62,-0.38,,1742,1741.84,-0.16,,,,
1439,1439.01,0.01,,327,327.08,0.08,,,,
814,813.97,-0.03,,448,447.67,-0.33,,,,
696,695.92,-0.08,,244,244.12,0.12,,,,
665,664.79,-0.21,,45,44.69,-0.31,,,,
2137,2137.15,0.15,,501,501.47,0.47,,,,
1554,1554.02,0.02,,39,38.97,-0.03,,,,
2173,2172.87,-0.13,,1808,1807.98,-0.02,,,,
2263,2263.38,0.38,,1773,1772.78,-0.22,,,,
307,306.98,-0.02,,1939,1938.79,-0.21,,,,
450,450.21,0.21,,146,145.75,-0.25,,,,
864,863.76,-0.24,,1294,1293.81,-0.19,,,,
954,954.15,0.15,,1711,1711.05,0.05,,,,
1670,1669.51,-0.49,,1918,1917.78,-0.22,,,,
1342,1342.49,0.49,,2119,2118.92,-0.08,,,,
1253,1252.93,-0.07,,1011,1010.96,-0.04,,,,
1462,1462.07,0.07,,585,585.09,0.09,,,,
1741,1741.39,0.39,,284,283.71,-0.29,,,,
1922,1921.65,-0.35,,1276,1275.79,-0.21,,,,
2118,2118.26,0.26,,241,240.98,-0.02,,,,
1395,1394.78,-0.22,,21,20.68,-0.32,,,,
1546,1545.59,-0.41,,2217,2217.04,0.04,,,,
1316,1315.88,-0.12,,794,793.97,-0.03,,,,
311,311.05,0.05,,135,134.66,-0.34,,,,
698,698.06,0.06,,2215,2215.28,0.28,,,,
1678,1678.05,0.05,,1980,1980.11,0.11,,,,
2277,2277.27,0.27,,1193,1192.89,-0.11,,,,
1200,1200.15,0.15,,1761,1760.85,-0.15,,,,
1849,1849.02,0.02,,2035,2035.08,0.08,,,,
400,399.99,-0.01,,516,515.76,-0.24,,,,
1190,1189.77,-0.23,,1364,1363.66,-0.34,,,,
2050,2050.26,0.26,,632,631.98,-0.02,,,,
1432,1431.69,-0.31,,697,696.81,-0.19,,,,
59,58.78,-0.22,,664,664.11,0.11,,,,
810,809.68,-0.32,,1522,1521.9,-0.1,,,,
64,63.9,-0.1,,1691,1691.04,0.04,,,,
1374,1374.4,0.4,,2132,2132.23,0.23,,,,
917,916.86,-0.14,,1829,1828.9,-0.1,,,,
1848,1847.89,-0.11,,1506,1505.57,-0.43,,,,
2176,2175.79,-0.21,,843,842.68,-0.32,,,,
446,446.07,0.07,,1519,1519.5,0.5,,,,
1661,1660.78,-0.22,,978,978.02,0.02,,,,
