Tip	test
2129.00	2129.08	0.08
1756.00	1756.45	0.45
744.00	743.94	-0.06
1298.00	1298.36	0.36
1727.00	1726.94	-0.06
1638.00	1637.90	-0.10
2136.00	2135.60	-0.40
2003.00	2002.69	-0.31
525.00	525.20	0.20
1934.00	1934.23	0.23
2200.00	2199.98	-0.02
67.00	66.95	-0.05
409.00	409.06	0.06
693.00	692.88	-0.12
2148.00	2147.81	-0.19
1817.00	1816.81	-0.19
1621.00	1621.04	0.04
548.00	548.30	0.30
679.00	678.70	-0.30
540.00	540.09	0.09
1688.00	1688.13	0.13
1972.00	1971.73	-0.27
110.00	110.13	0.13
21.00	21.05	0.05
1421.00	1421.47	0.47
103.00	102.87	-0.13
1525.00	1524.87	-0.13
2053.00	2053.39	0.39
1066.00	1065.87	-0.13
692.00	691.87	-0.13
958.00	958.45	0.45
984.00	983.69	-0.31
1206.00	1206.02	0.02
1794.00	1793.99	-0.01
175.00	174.94	-0.06
1053.00	1052.87	-0.13
1166.00	1166.10	0.10
1589.00	1588.99	-0.01
694.00	693.60	-0.40
492.00	491.97	-0.03
1007.00	1007.27	0.27
468.00	467.99	-0.01
110.00	110.07	0.07
79.00	78.90	-0.10
1817.00	1816.73	-0.27
914.00	913.88	-0.12
2044.00	2043.55	-0.45
1334.00	1334.17	0.17
784.00	783.99	-0.01
19.00	18.97	-0.03
164.00	163.61	-0.39
1295.00	1294.88	-0.12
1477.00	1476.59	-0.41
1462.00	1462.17	0.17
2087.00	2086.53	-0.47
494.00	494.13	0.13
199.00	199.31	0.31
1258.00	1257.82	-0.18
860.00	859.87	-0.13
1762.00	1761.81	-0.19
1608.00	1608.06	0.06
1273.00	1272.76	-0.24
592.00	592.24	0.24
2287.00	2286.54	-0.46
1260.00	1260.12	0.12
1141.00	1140.96	-0.04
38.00	38.04	0.04
1278.00	1277.92	-0.08
778.00	778.03	0.03
2073.00	2073.37	0.37
70.00	69.99	-0.01
2201.00	2200.69	-0.31
1081.00	1081.03	0.03
1395.00	1395.27	0.27
1318.00	1318.14	0.14
303.00	302.86	-0.14
977.00	977.38	0.38
163.00	162.74	-0.26
262.00	261.88	-0.12
680.00	679.69	-0.31
997.00	997.43	0.43
1266.00	1265.52	-0.48
2114.00	2114.25	0.25
1217.00	1216.90	-0.10
1499.00	1498.90	-0.10
1350.00	1350.03	0.03
1569.00	1568.71	-0.29
739.00	739.00	0.00
2076.00	2076.25	0.25
1513.00	1512.83	-0.17
528.00	527.59	-0.41
1053.00	1052.79	-0.21
1825.00	1824.85	-0.15
22.00	22.13	0.13
1463.00	1462.90	-0.10
2204.00	2203.67	-0.33
375.00	374.93	-0.07
402.00	402.13	0.13
2182.00	2182.20	0.20
2242.00	2241.53	-0.47
2010.00	2010.03	0.03
1268.00	1268.19	0.19
1466.00	1465.58	-0.42
228.00	227.61	-0.39
349.00	349.11	0.11
921.00	921.01	0.01
356.00	356.04	0.04
1614.00	1613.71	-0.29
1297.00	1296.81	-0.19
1973.00	1972.65	-0.35
2186.00	2186.36	0.36
1526.00	1525.94	-0.06
147.00	146.63	-0.37
796.00	795.62	-0.38
423.00	422.89	-0.11
1064.00	1064.26	0.26
2203.00	2203.45	0.45
255.00	255.11	0.11
1250.00	1250.08	0.08
2210.00	2210.02	0.02
79.00	78.90	-0.10
